# total_molecules: 123007215
bit_i,bit_j,count,fraction,expected_fraction,pmi
729,1218,592886,0.00481993,0.00022659,4.410875
478,1436,212896,0.00173076,0.00008139,4.410377
39,524,469445,0.00381640,0.00017955,4.409788
285,1431,314108,0.00255357,0.00012020,4.409050
81,2037,266449,0.00216612,0.00010199,4.408547
174,1259,304087,0.00247211,0.00011646,4.407864
23,292,107599,0.00087474,0.00004122,4.407541
196,1256,457169,0.00371660,0.00017596,4.400657
753,1963,4235733,0.03443483,0.00163210,4.399064
942,1504,1605486,0.01305197,0.00061911,4.397938
698,998,99090,0.00080556,0.00003825,4.396330
519,622,515813,0.00419336,0.00019926,4.395371
86,513,59176,0.00048108,0.00002286,4.395237
842,1205,569875,0.00463286,0.00022026,4.394625
753,838,4225567,0.03435219,0.00163512,4.392936
75,540,140631,0.00114327,0.00005443,4.392624
311,1570,353181,0.00287122,0.00013682,4.391339
213,358,596740,0.00485126,0.00023145,4.389587
757,800,766745,0.00623333,0.00029739,4.389584
1233,1466,523631,0.00425691,0.00020318,4.389005
1520,1731,678963,0.00551970,0.00026360,4.388193
660,1512,95017,0.00077245,0.00003691,4.387522
1914,2042,772891,0.00628330,0.00030092,4.384057
1297,1680,145856,0.00118575,0.00005680,4.383797
1264,1680,147061,0.00119555,0.00005728,4.383576
1234,1381,259485,0.00210951,0.00010112,4.382826
557,1669,272072,0.00221184,0.00010615,4.381125
1073,1588,206570,0.00167933,0.00008060,4.380992
1252,1370,281155,0.00228568,0.00010973,4.380568
1298,1460,345503,0.00280880,0.00013508,4.378097
811,1227,334130,0.00271634,0.00013070,4.377335
408,1901,112755,0.00091665,0.00004412,4.376984
333,1599,1155275,0.00939193,0.00045248,4.375504
962,1253,90654,0.00073698,0.00003551,4.375165
767,1540,250051,0.00203282,0.00009799,4.374647
150,301,255009,0.00207312,0.00009994,4.374581
372,1658,1424312,0.01157909,0.00055821,4.374562
316,1241,197083,0.00160221,0.00007724,4.374532
218,1798,96755,0.00078658,0.00003796,4.373114
937,1392,196027,0.00159362,0.00007697,4.371926
151,430,384520,0.00312600,0.00015104,4.371291
112,686,105474,0.00085746,0.00004144,4.371014
610,1764,828879,0.00673846,0.00032640,4.367691
1340,1713,155629,0.00126520,0.00006137,4.365606
148,516,108045,0.00087836,0.00004263,4.364884
1234,1516,622895,0.00506389,0.00024580,4.364685
1466,1934,523926,0.00425931,0.00020681,4.364210
251,1981,458362,0.00372630,0.00018100,4.363648
1364,1763,256214,0.00208292,0.00010118,4.363593
372,1889,969827,0.00788431,0.00038315,4.362995
539,757,257334,0.00209202,0.00010182,4.360868
229,1807,582801,0.00473794,0.00023064,4.360568
811,1255,863248,0.00701786,0.00034169,4.360273
729,1399,673484,0.00547516,0.00026673,4.359452
995,1732,46216,0.00037572,0.00001831,4.359165
1234,1977,467941,0.00380418,0.00018540,4.358871
610,1921,1462870,0.01189255,0.00058002,4.357808
30,1850,140703,0.00114386,0.00005585,4.356268
1373,1654,188419,0.00153177,0.00007491,4.353848
594,1316,92566,0.00075252,0.00003695,4.347951
1201,2028,133823,0.00108793,0.00005344,4.347567
199,1821,160053,0.00130117,0.00006399,4.345878
71,1701,225934,0.00183675,0.00009039,4.344852
437,1043,1285614,0.01045153,0.00051464,4.344012
1664,1941,217982,0.00177211,0.00008730,4.343375
243,529,130658,0.00106220,0.00005234,4.342992
557,885,583968,0.00474743,0.00023398,4.342665
154,995,129625,0.00105380,0.00005199,4.341361
635,1175,291401,0.00236897,0.00011696,4.340227
991,1399,623421,0.00506817,0.00025043,4.338968
232,308,82036,0.00066692,0.00003296,4.338941
723,1050,457911,0.00372264,0.00018410,4.337785
330,1861,313597,0.00254942,0.00012616,4.336797
3,1969,199502,0.00162187,0.00008030,4.336102
447,614,152570,0.00124033,0.00006147,4.334715
181,1528,45028,0.00036606,0.00001817,4.332284
273,2044,557498,0.00453224,0.00022511,4.331513
133,618,393316,0.00319750,0.00015898,4.330057
315,589,105914,0.00086104,0.00004281,4.329949
143,1092,127588,0.00103724,0.00005159,4.329488
117,1102,251830,0.00204728,0.00010210,4.325717
126,1913,428541,0.00348387,0.00017396,4.323857
186,257,407207,0.00331043,0.00016532,4.323680
69,1619,772626,0.00628114,0.00031383,4.322950
761,1684,89406,0.00072684,0.00003634,4.322153
1134,1619,336718,0.00273738,0.00013691,4.321449
577,1095,335912,0.00273083,0.00013677,4.319542
874,1619,236936,0.00192620,0.00009650,4.319056
78,943,621548,0.00505294,0.00025334,4.317966
933,1659,97037,0.00078887,0.00003955,4.317938
1256,1668,364519,0.00296340,0.00014859,4.317883
1381,1600,183328,0.00149038,0.00007476,4.317327
65,1774,92263,0.00075006,0.00003766,4.316008
1401,1720,84875,0.00069000,0.00003464,4.315918
1466,1518,527337,0.00428704,0.00021528,4.315726
869,1323,338377,0.00275087,0.00013814,4.315669
906,936,395530,0.00321550,0.00016149,4.315565
156,1464,104800,0.00085198,0.00004281,4.314819
364,648,124292,0.00101044,0.00005085,4.312555
1201,1641,46731,0.00037990,0.00001914,4.310722
253,696,105147,0.00085480,0.00004308,4.310457
1403,2036,262540,0.00213435,0.00010766,4.309288
241,383,1601425,0.01301895,0.00065701,4.308553
661,947,1032869,0.00839682,0.00042492,4.304589
1610,1809,375959,0.00305640,0.00015496,4.301881
48,681,32451,0.00026381,0.00001338,4.301604
1173,1629,109183,0.00088761,0.00004502,4.301287
666,1554,560384,0.00455570,0.00023108,4.301225
1234,1600,171975,0.00139809,0.00007104,4.298645
487,740,291770,0.00237197,0.00012067,4.296896
1254,1319,101815,0.00082772,0.00004213,4.296207
519,1477,535017,0.00434948,0.00022147,4.295679
1260,1417,2124489,0.01727126,0.00087946,4.295615
288,1096,1181863,0.00960808,0.00049017,4.292891
973,1148,493137,0.00400901,0.00020462,4.292249
312,365,108312,0.00088053,0.00004494,4.292177
1079,1537,132356,0.00107600,0.00005499,4.290441
52,1732,74773,0.00060787,0.00003108,4.289836
692,1276,493653,0.00401320,0.00020531,4.288907
669,1381,123180,0.00100140,0.00005127,4.287724
263,689,238255,0.00193692,0.00009921,4.287083
998,1397,89411,0.00072688,0.00003723,4.287034
122,514,204377,0.00166150,0.00008512,4.286906
916,1971,349187,0.00283875,0.00014544,4.286721
306,1373,104580,0.00085019,0.00004360,4.285491
497,942,674279,0.00548162,0.00028136,4.284135
1260,1522,1045836,0.00850223,0.00043645,4.283953
341,1959,1289973,0.01048697,0.00053845,4.283639
664,968,474881,0.00386059,0.00019826,4.283369
1267,1619,717347,0.00583175,0.00029973,4.282177
11,1942,350552,0.00284985,0.00014665,4.280400
741,783,174852,0.00142148,0.00007327,4.278071
636,1538,99221,0.00080663,0.00004158,4.278007
600,1969,322176,0.00261916,0.00013502,4.277903
660,1186,97449,0.00079222,0.00004088,4.276563
775,991,461044,0.00374811,0.00019362,4.274866
4,1270,546612,0.00444374,0.00022991,4.272631
318,515,319946,0.00260103,0.00013465,4.271783
229,714,960853,0.00781135,0.00040482,4.270209
8,243,219670,0.00178583,0.00009256,4.270034
538,1159,189386,0.00153963,0.00007987,4.268857
1364,1428,480378,0.00390528,0.00020261,4.268681
196,241,455844,0.00370583,0.00019227,4.268562
1805,1926,238930,0.00194241,0.00010090,4.266897
677,1399,945189,0.00768401,0.00039927,4.266423
631,1311,85840,0.00069785,0.00003636,4.262366
1323,1921,932915,0.00758423,0.00039583,4.260059
839,1726,306647,0.00249292,0.00013012,4.259880
1190,1684,470602,0.00382581,0.00019989,4.258473
299,568,73032,0.00059372,0.00003104,4.257701
496,687,422914,0.00343812,0.00017978,4.257293
1484,1773,434301,0.00353070,0.00018478,4.256081
301,1297,260135,0.00211479,0.00011069,4.255900
107,2042,892806,0.00725816,0.00038008,4.255248
159,1103,42283,0.00034374,0.00001806,4.250631
1151,1467,170601,0.00138692,0.00007286,4.250564
1364,1451,176622,0.00143587,0.00007550,4.249255
1490,1600,112646,0.00091577,0.00004816,4.249131
664,723,446076,0.00362642,0.00019091,4.247553
232,1989,97054,0.00078901,0.00004157,4.246472
743,1685,186689,0.00151771,0.00008005,4.244893
401,775,1255278,0.01020491,0.00053832,4.244646
923,1323,193170,0.00157040,0.00008289,4.243723
529,1720,83999,0.00068288,0.00003614,4.239954
217,635,344058,0.00279706,0.00014804,4.239860
1134,1755,455983,0.00370696,0.00019632,4.238980
691,1992,901245,0.00732677,0.00038874,4.236311
1489,1922,340226,0.00276590,0.00014675,4.236289
